Epoch,Train Loss,Val Loss,Acc,F1,0.01_256_5_normTrue
9,0.3317,0.2188,0.9174,0.3616
10,0.3098,0.3229,0.8653,0.5104
11,0.3008,0.2052,0.9202,0.4377
12,0.2696,0.2170,0.9174,0.5014
13,0.2205,0.2517,0.9150,0.5056
14,0.1924,0.2467,0.9198,0.5172
15,0.1785,0.2658,0.9212,0.4954
Epoch,Train Loss,Val Loss,Acc,F1,0.001_256_5_normTrue
1,0.8384,0.3997,0.8491,0.4191
2,0.6789,0.5270,0.7741,0.3928
3,0.6018,0.6043,0.7631,0.4053
4,0.5625,0.6806,0.7607,0.4014
5,0.5748,0.8039,0.7230,0.3737
6,0.5324,0.8613,0.7216,0.3778
7,0.5149,0.7129,0.7798,0.4187
8,0.5011,0.4213,0.8348,0.4419
9,0.4708,0.9859,0.7163,0.3761
10,0.4557,0.7582,0.7741,0.3990
11,0.4435,0.9167,0.7670,0.3915
12,0.4209,1.0432,0.7751,0.4134
13,0.4143,0.7007,0.8090,0.4083
14,0.3741,0.7400,0.7947,0.3961
15,0.4088,1.3239,0.7775,0.3901
Epoch,Train Loss,Val Loss,Acc,F1,0.001_256_5_normFalse
1,0.7870,0.2537,0.9045,0.3902
2,0.5821,0.2806,0.8830,0.5070
3,0.5413,0.3000,0.8715,0.5118
4,0.5171,0.2145,0.9083,0.4894
5,0.5095,0.2274,0.9097,0.5065
6,0.4902,0.2906,0.8811,0.5293
7,0.4605,0.2026,0.9155,0.4416
8,0.4515,0.2028,0.9126,0.4903
9,0.4179,0.2296,0.9088,0.5485
10,0.4081,0.2102,0.9136,0.4754
11,0.3845,0.2787,0.8835,0.5361
12,0.3584,0.2132,0.9136,0.5274
13,0.3344,0.2262,0.9069,0.5301
14,0.2977,0.2144,0.9140,0.5312
15,0.3004,0.2542,0.9160,0.4248
Epoch,Train Loss,Val Loss,Acc,F1,0.001_256_3_normTrue
1,0.6187,0.3191,0.8949,0.4388
2,0.5008,0.4419,0.8238,0.4297
3,0.4551,0.4956,0.8214,0.4484
4,0.4275,0.9657,0.7646,0.4053
5,0.4085,0.8240,0.7445,0.3914
6,0.4111,0.5461,0.8204,0.4454
7,0.3977,0.6233,0.8262,0.4518
8,0.3806,1.1332,0.7092,0.3728
9,0.3656,0.5308,0.8176,0.4332
10,0.3508,0.5129,0.8257,0.4359
11,0.3456,0.5843,0.8214,0.4435
12,0.3307,0.7448,0.7803,0.4118
13,0.3172,1.0978,0.7402,0.3901
14,0.3197,0.7491,0.8032,0.4197
15,0.3179,0.6179,0.8181,0.4183
Epoch,Train Loss,Val Loss,Acc,F1,0.001_256_3_normFalse
1,0.6018,0.2464,0.9121,0.2269
2,0.4499,0.2186,0.9059,0.4632
3,0.4157,0.2387,0.9107,0.4905
4,0.3942,0.2068,0.9198,0.4000
5,0.3827,0.2176,0.9069,0.5137
6,0.3646,0.2158,0.9088,0.4987
7,0.3507,0.2072,0.9083,0.4921
8,0.3361,0.2102,0.9164,0.5070
9,0.3252,0.2070,0.9145,0.3675
10,0.3146,0.2092,0.9117,0.5195
11,0.2842,0.2223,0.9155,0.5305
12,0.2636,0.2021,0.9160,0.4667
13,0.2480,0.2093,0.9140,0.5082
14,0.2275,0.2572,0.9131,0.3158
15,0.2299,0.2127,0.9183,0.5043
Epoch,Train Loss,Val Loss,Acc,F1,0.0005_256_5_normTrue
1,0.8505,0.4077,0.8883,0.3842
2,0.7295,0.4698,0.7865,0.4142
3,0.6361,0.4974,0.7966,0.4259
4,0.5945,0.3650,0.8448,0.4610
5,0.5836,0.4880,0.8075,0.4364
6,0.5454,0.6378,0.7798,0.4157
7,0.5335,0.5785,0.8066,0.4336
8,0.5225,0.8325,0.7311,0.3820
9,0.5003,0.6175,0.7904,0.4170
10,0.4773,0.7144,0.7708,0.4089
11,0.4750,0.5660,0.8252,0.4404
12,0.4476,0.8907,0.7326,0.3736
13,0.4309,0.7488,0.7502,0.3737
14,0.4197,0.6693,0.7851,0.3984
15,0.4110,0.5186,0.8247,0.4220
Epoch,Train Loss,Val Loss,Acc,F1,0.0005_256_5_normFalse
1,0.8630,0.3360,0.9050,0.0100
2,0.6784,0.2663,0.8983,0.4688
3,0.5763,0.2366,0.9002,0.4814
4,0.5399,0.2420,0.9007,0.4927
5,0.5245,0.2203,0.9078,0.4826
6,0.5268,0.2193,0.9112,0.4973
7,0.5049,0.2448,0.9016,0.5048
8,0.4986,0.2671,0.8930,0.5234
9,0.4811,0.2095,0.9107,0.4987
10,0.4702,0.2353,0.9040,0.5248
11,0.4607,0.2799,0.8863,0.5388
12,0.4584,0.2437,0.9016,0.5402
13,0.4355,0.2479,0.9040,0.5379
14,0.4160,0.2447,0.9045,0.5370
15,0.4058,0.3172,0.8725,0.5324
Epoch,Train Loss,Val Loss,Acc,F1,0.0005_256_3_normTrue
1,0.6520,0.3728,0.9031,0.0379
2,0.5701,0.3239,0.8806,0.4104
3,0.5001,0.3344,0.8591,0.4465
4,0.4568,0.4278,0.8204,0.4320
5,0.4442,0.5069,0.8037,0.4268
6,0.4197,0.4337,0.8305,0.4547
7,0.4097,0.3928,0.8438,0.4577
8,0.4106,0.5912,0.7913,0.4302
9,0.3872,0.5925,0.7942,0.4321
10,0.3753,0.5496,0.8200,0.4512
11,0.3756,0.5620,0.8037,0.4347
12,0.3641,0.6758,0.7655,0.4063
13,0.3492,0.4680,0.8443,0.4512
14,0.3521,0.6227,0.7908,0.4267
15,0.3336,0.6132,0.7932,0.4384
Epoch,Train Loss,Val Loss,Acc,F1,0.0005_256_3_normFalse
1,0.6531,0.3228,0.9050,0.0000
2,0.5426,0.2338,0.9112,0.1983
3,0.4498,0.2249,0.9040,0.4401
4,0.4237,0.2150,0.9097,0.4185
5,0.4091,0.2059,0.9083,0.4353
6,0.3940,0.2096,0.9088,0.4464
7,0.3888,0.2274,0.9045,0.4709
8,0.3755,0.2260,0.9183,0.3782
9,0.3733,0.1982,0.9140,0.4578
10,0.3597,0.2145,0.9117,0.4638
11,0.3490,0.2253,0.9093,0.5026
12,0.3444,0.2198,0.9107,0.5313
13,0.3343,0.2071,0.9155,0.4451
14,0.3257,0.2122,0.9160,0.4913
15,0.3071,0.2295,0.9131,0.3681
